id;designation;explication;type_question
1;indexing Rubber;Plastic Cambridgeshire Palau;BATIMENT
2;extensible;Tuna Cambridgeshire Handcrafted;TERRAIN
3;leading-edge compelling;Rustic Indian multi-byte;BATIMENT
4;Géorgie Rubber Sports;functionalities paradigms;ENVIRONNEMENT
5;copy protocol;bypassing;LOCAL
6;back-end Jewelery open-source;Salvador Berkshire frictionless;ENVIRONNEMENT
7;Granite;Handmade Bourgogne;BATIMENT
8;AGP Picardie Zadkine;bluetooth Corse;TERRAIN
9;bypass Chair;Home matrix;TERRAIN
10;Bedfordshire Gorgeous;Incredible SDD;TERRAIN
